Distancia,Latitud,Longitud,BAZ,Magnitud,Estacion,TiempoInicio,TiempoFin
68.0768203735,-29.4850313381,-72.1040638434,246.38759959,3.84,CO10,2021-07-04T07:25:29.000000Z,2021-07-04T07:27:41.975000Z
66.315322876,-28.6439172871,-71.5117018901,355.701963219,3.26,CO10,2021-07-04T07:29:55.000000Z,2021-07-04T07:31:17.975000Z
80.6419448853,-29.8504461193,-71.0072312384,147.071676681,3.19,CO10,2021-07-04T07:31:31.000000Z,2021-07-04T07:32:39.975000Z
66.8773345947,-29.3675863878,-72.1338211131,257.68301127,3.23,CO10,2021-07-04T07:32:43.000000Z,2021-07-04T07:34:19.975000Z
82.1148376465,-28.760798864,-72.1030389345,310.203040553,3.34,CO10,2021-07-04T07:35:49.000000Z,2021-07-04T07:36:39.975000Z
27.9999771118,-29.390530007,-71.2289135272,126.471976408,3.32,CO10,2021-07-04T07:45:49.000000Z,2021-07-04T07:49:47.975000Z
80.9934005737,-28.8541511915,-72.1666925517,301.752566587,3.6,CO10,2021-07-04T07:52:13.000000Z,2021-07-04T07:53:21.975000Z
85.5497817993,-28.775807695,-72.1619085272,306.852231709,3.12,CO10,2021-07-04T07:53:25.000000Z,2021-07-04T07:54:35.975000Z
2.17401957512,-29.2256936404,-71.4462960586,40.6756172434,3.33,CO10,2021-07-04T07:57:17.000000Z,2021-07-04T08:00:07.975000Z
85.4281311035,-29.4408907408,-72.3102771614,254.727342529,3.9,CO10,2021-07-04T08:03:13.000000Z,2021-07-04T08:05:19.975000Z
84.4618453979,-29.211379172,-72.328949028,271.983405656,3.86,CO10,2021-07-04T08:05:41.000000Z,2021-07-04T08:06:59.975000Z
83.3985061646,-29.8535209947,-71.9598831665,215.322546868,3.83,CO10,2021-07-04T08:07:01.000000Z,2021-07-04T08:08:33.975000Z
7.56124210358,-29.3081557097,-71.4714342882,187.800968966,3.27,CO10,2021-07-04T08:15:51.000000Z,2021-07-04T08:20:53.975000Z
42.7356719971,-29.3064266698,-71.0275801155,99.9406529923,2.85,CO10,2021-07-04T08:29:21.000000Z,2021-07-04T08:30:41.975000Z
47.4839553833,-29.6600881632,-71.3617822022,168.344396473,3.51,CO10,2021-07-04T08:31:35.000000Z,2021-07-04T08:33:19.975000Z
-259.627471924,-30.6284983576,-69.2946918897,306.876219333,3.05,CO10,2021-07-04T08:43:27.000000Z,2021-07-04T08:49:37.975000Z
53.1630821228,-29.3523177529,-71.9929853955,256.397050574,3.15,CO10,2021-07-04T08:51:01.000000Z,2021-07-04T08:53:01.975000Z
87.938659668,-29.1829697911,-72.3628357596,273.943150853,3.25,CO10,2021-07-04T08:53:23.000000Z,2021-07-04T08:54:11.975000Z
89.8126220703,-30.0113350314,-71.7468293777,197.889486219,3.72,CO10,2021-07-04T08:54:15.000000Z,2021-07-04T08:54:49.975000Z
83.9540710449,-29.429638203,-72.2979188213,255.340256385,3.71,CO10,2021-07-04T08:59:17.000000Z,2021-07-04T09:00:17.975000Z
89.3887481689,-29.3507886365,-70.5494871973,98.0779579528,3.25,CO10,2021-07-04T09:00:19.000000Z,2021-07-04T09:01:03.975000Z
88.7659301758,-28.9643426994,-72.3168069924,289.967758193,3.18,CO10,2021-07-04T09:02:29.000000Z,2021-07-04T09:03:19.975000Z
42.3848724365,-29.1523455354,-71.8849287082,283.235513936,3.7,CO10,2021-07-04T09:04:19.000000Z,2021-07-04T09:08:03.975000Z
-74.9449615479,-29.3007733815,-70.6927656245,275.295965441,2.98,CO10,2021-07-04T09:10:21.000000Z,2021-07-04T09:13:07.975000Z
16.1915512085,-29.3515181078,-71.3524649233,139.447068208,3.95,CO10,2021-07-04T09:13:19.000000Z,2021-07-04T09:16:57.975000Z
-14.82417202,-29.3338807183,-71.570165946,45.7316886822,3.74,CO10,2021-07-04T09:17:53.000000Z,2021-07-04T09:24:09.975000Z
80.3508758545,-28.6189557918,-71.88492294,328.927730955,3.52,CO10,2021-07-04T09:25:35.000000Z,2021-07-04T09:26:29.975000Z
76.2876663208,-28.6528947767,-71.8682496638,328.529121115,3.26,CO10,2021-07-04T09:27:01.000000Z,2021-07-04T09:27:49.975000Z
81.8388900757,-29.6313539331,-70.7452320585,122.132128851,3.68,CO10,2021-07-04T09:33:37.000000Z,2021-07-04T09:36:13.975000Z
77.8405685425,-28.9788456792,-72.2029754988,291.699538997,3.4,CO10,2021-07-04T09:41:01.000000Z,2021-07-04T09:42:01.975000Z
71.0629196167,-29.3282960659,-72.1853113383,261.958436483,3.25,CO10,2021-07-04T09:42:45.000000Z,2021-07-04T09:43:37.975000Z
43.3310699463,-29.4745738894,-71.1034016429,126.856188209,3.06,CO10,2021-07-04T09:47:17.000000Z,2021-07-04T09:48:33.975000Z
76.3448638916,-29.4265874411,-72.2177151697,254.146475921,4.66,CO10,2021-07-04T09:52:47.000000Z,2021-07-04T09:56:01.975000Z
-8.75992488861,-29.2325388009,-71.5505111891,95.8105195635,3.54,CO10,2021-07-04T09:56:57.000000Z,2021-07-04T10:00:49.975000Z
86.4311294556,-29.9847954853,-71.1946236082,162.706047993,3.08,CO10,2021-07-04T10:04:37.000000Z,2021-07-04T10:05:19.975000Z
64.9165649414,-29.7412966589,-71.1136700791,148.842894997,3.59,CO10,2021-07-04T10:08:31.000000Z,2021-07-04T10:13:31.975000Z
88.2290802002,-29.6156315902,-72.2628629242,241.691789895,3.25,CO10,2021-07-04T10:20:47.000000Z,2021-07-04T10:21:31.975000Z
20.1015090942,-29.1767356358,-71.6543568406,290.561301632,3.2,CO10,2021-07-04T10:21:37.000000Z,2021-07-04T10:26:25.975000Z
77.1044387817,-29.0151553251,-70.711327828,71.2756604421,2.86,CO10,2021-07-04T10:26:27.000000Z,2021-07-04T10:27:17.975000Z
66.3437271118,-29.634202871,-70.9457693656,131.247671997,3.26,CO10,2021-07-04T10:28:17.000000Z,2021-07-04T10:29:39.975000Z
70.4384994507,-29.8431233105,-71.6917297706,198.46542143,4.07,CO10,2021-07-04T10:34:45.000000Z,2021-07-04T10:39:01.975000Z
-33.678527832,-29.0030281095,-71.6766549836,141.369643516,3.19,CO10,2021-07-04T10:46:05.000000Z,2021-07-04T10:53:53.975000Z
77.7145080566,-29.7148107179,-72.0510421362,227.291852332,4.27,CO10,2021-07-04T10:54:11.000000Z,2021-07-04T10:58:09.975000Z
97.6854476929,-30.094223545,-71.7114869011,194.318690642,3.67,CO10,2021-07-04T10:58:11.000000Z,2021-07-04T10:58:45.975000Z
57.4230117798,-29.7432460748,-71.6040713424,193.959572955,3.53,CO10,2021-07-04T11:04:29.000000Z,2021-07-04T11:06:29.975000Z
83.9822311401,-29.1654194361,-72.3202028108,275.482374964,3.43,CO10,2021-07-04T11:06:43.000000Z,2021-07-04T11:07:43.975000Z
65.0605010986,-29.8132688054,-71.3138608009,167.383238593,3.26,CO10,2021-07-04T11:08:13.000000Z,2021-07-04T11:09:41.975000Z
54.2121238708,-29.6100495935,-71.8269219138,220.846257453,3.94,CO10,2021-07-04T11:23:33.000000Z,2021-07-04T11:29:53.975000Z
79.6156158447,-29.0405042899,-72.2466872502,285.980539643,3.95,CO10,2021-07-04T11:29:59.000000Z,2021-07-04T11:33:19.975000Z
10.4865808487,-29.2413263073,-71.5687397882,269.515630988,3.5,CO10,2021-07-04T11:34:15.000000Z,2021-07-04T11:39:39.975000Z
77.7359161377,-29.3710534361,-72.2470589315,259.085331069,4.74,CO10,2021-07-04T11:43:41.000000Z,2021-07-04T11:53:47.975000Z
16.0413131714,-29.3852795534,-71.4631798242,180.800912991,2.94,CO10,2021-07-04T12:01:31.000000Z,2021-07-04T12:02:59.975000Z
74.1132125854,-29.8099949935,-71.8615761867,211.511424254,3.37,CO10,2021-07-04T12:05:53.000000Z,2021-07-04T12:07:07.975000Z
